Name,Category,Sub-Category,Location,Website,Etsy,Instagram,Ships Internationally,Notes
Vaidava Ceramics,Pottery,Minimalist red clay tableware,Vaidava / Vidzeme,https://vaidava.com,,@vaidavaceramics,Yes,Earth & Eclipse collections; 14+ countries
Laima Ceramics,Pottery,Porcelain & stoneware tableware,Bauska / Zemgale,https://www.laimaceramics.com,https://www.etsy.com/shop/laimaceramics,@laimaceramics,Yes,Bespoke restaurant sets
Dailrade Ceramics,Pottery,Minimalist stoneware,Riga,https://www.dailradeceramics.com,https://www.etsy.com/shop/DailradeCeramics,,Yes (via Etsy),Est. 1966; cups / butter dishes / vases
ZEME Ceramics,Pottery,Mugs / incense holders / candle holders,Riga,,https://www.etsy.com/shop/zemeceramicsbykitija,,Yes (via Etsy),
Tilia Studio,Pottery,Colorful stoneware / matcha chawan,Latvia,,https://www.etsy.com/shop/TiliaStudioShop,,Yes (via Etsy),
Krasta Keramika,Pottery,Painted vases / porcelain,Riga,https://krastakeramika.bigcartel.com,,@esse.ceramics,Likely,
Laurins Ceramics,Pottery,Porcelain vases with textural elements,Latvia,https://laurinsceramics.com,,@laurinsceramics,Likely,
Latvijas Keramika,Pottery,Household & garden ceramics,Cēsis / Vidzeme,http://www.latvijaskeramika.lv/en/,,,Unknown,Made from Latvian clay
Piebalga Porcelain Factory,Pottery,Porcelain,Cēsis / Vidzeme,http://www.porcelanadarbnica.lv/home/,,,Unknown,Latvia's only porcelain factory
Andris Ušpelis,Pottery,Traditional Latgale pottery / whistles,Rēzekne / Latgale,https://latgale.travel,,,By arrangement,Silajāņi dynasty
Cukrasāta (Vilums & Bīriņa),Pottery,Black reduced ceramics / wood-fired,Rēzekne / Latgale,https://latgale.travel,,,By arrangement,Also sold via homeroast.life
Čerņavskis Ceramic House,Pottery,Traditional Latgale pottery,Preiļi / Latgale,https://latgale.travel,,,By arrangement,Legacy potters Caics & Andersons
Lība Ceramics,Pottery,Porcelain & stoneware / gold accents,Latgale,https://latgale.travel,,,By arrangement,Pastel earth tones
Daugavpils Clay Art Centre,Pottery,Baltic Raku ceramics,Daugavpils / Latgale,https://tourdecrafts.eu/artisan/daugavpils-clay-art-centre/,,,No (workshop),Residencies & exhibitions
